ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Коньяк ординарный ХЕННЕССИ ВСОП 40% П/УП. 0,7Л ",,нет,нет в наличии,,,,,,,,,10500,8100
,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1780,,550,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2810,,1100,,,,,,,,,1700,760
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Мама Джама Блэк выдержанный 0,7 л",2000,,670,,,,,,,,,,
"Ром Блэк Пирл Уайт 0,7 л",2610,,1000,,,,,,,,,1900,950
"Набор Оакхарт Ориджинал Спайс Голд+2 банки Rich Cola 0,7 л",2750,"кб,бристоль",1070,,,,,,,,,2799,1970
"Ром Блэк Пирл Дарк 0,7 л",2890,,1150,,,,,,,,,1900,1150
"Ром выдержанный Сангсом в п/к 0,7 л",3370,,1400,,,,,,,,,,
"Ром Барсело Аньехо 0,7Л",3550,,1500,,,,,,,,,2600,1550
"Спиртной напиток на основе рома ОАКХАРТ ОРИДЖИНАЛ 35% 0,7Л",3730,,1600,,,,,,,,,1900,1000
Контрабандо 5 лет 0.7л,4480,"кб,лента",2000,,,,,,,,,3799,1670
"Ром Бругал Аньехо Супериор 0,7 л",5960,,2790,,,,,,,,,3200,2790
"Ром Matusalem Solera 7 лет, 0.7л",5970,"кб, метро",2800,,,,,,,,,,
"Спиртной напиток КАПИТАН МОРГАН ТРОПИКАЛ 25% 0,7Л",,нет,2000,,,,,,,,,2800,1850
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л",,нет,нет,,,,,,,,,2300,1050
"Ром невыдержанный ПЛАНТЕЙШН ТРИ ЗВЕЗДЫ 41,2% 0,7Л",,нет,нет,,,,,,,,,2400,1900
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Спиртной напиток ФАНТАСМА 40% 0,5Л",1680,бристоль,500,,,,,,,,,1600,480
"Текила Хосе Куэрво Репосадо 0,7 л",5040,очень мало,2300,,,,,,,,,3600,1750
