КРАСНОДАР,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Джин БРИСТОЛЛС 40% 0,5Л",1780,,550,бристоль,,,,,1400,530,,,
"Джин 40% 0,7Л",2150,,750,бристоль,,,,,1600,700,,,
"Джин ГИБСОН'С ЛОНДОН ДРАЙ 37,5% 0,7Л",2990,,1200,бристоль,,,,,2200,950,,,
"Джин Гордонс лондонский сухой 0,7",4860,,2200,,,,,,2500,1200,,,
"Джин Финч Мэджик Аладдин 0,5 л",,,нет,,,,,,1400,560,,,
"Джин Битли Ботаникал\классик лондон драй\Слое 0,5 л",,,нет,,,,,,1500,600,,,
"Джин ГРИНБАБУН ЦИТРУС 40% 0,5Л",,,нет,,,,,,1600,680,,,
,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,,цена,закуп,,,
"Ликер десертный ЛИМОНЧЕЛЛО Сан Ламаджо 18% 0,5Л",1500,,400,,,,,,1200,400,,,
"Бальзам ВАЛААМ МОНАСТЫРСКИЙ СБОР 40% 0,5Л",2090,,720,бристоль,,,,,1600,700,,,
"Ликер Найт Габриелло Амаретто 0,5 л",2150,,750,,,,,,1800,750,,,
"Ликер Старейшина Альпин Хани 0,5 л",2240,,800,,,,,,1600,650,,,
